DAX,SMI,CAC,FTSE
1571.06,1622.60,1739.70,2420.20
1549.81,1596.10,1708.80,2414.90
1549.36,1612.40,1722.20,2420.20
1554.65,1625.00,1713.90,2423.80
1557.52,1610.50,1703.20,2407.00
1555.31,1606.60,1685.70,2388.70
1559.76,1610.70,1663.40,2409.60
1548.44,1603.10,1636.90,2392.00
1543.99,1591.50,1645.60,2380.20
1550.21,1605.20,1671.60,2423.30
1557.03,1621.40,1688.30,2451.60
1551.78,1622.50,1696.80,2440.80
1562.89,1626.60,1711.70,2432.90
1570.28,1627.40,1706.20,2413.60
1559.26,1614.90,1684.20,2391.60
1545.87,1602.30,1648.50,2358.10
1542.77,1598.30,1633.60,2345.40
1542.77,1627.00,1699.10,2384.40
1542.77,1627.00,1699.10,2384.40
1542.77,1627.00,1722.50,2384.40
1564.27,1655.70,1720.70,2418.70
1577.26,1670.10,1741.90,2420.00
1577.26,1670.10,1765.70,2493.10
1577.26,1670.10,1765.70,2493.10
1598.19,1670.10,1749.90,2492.80
1604.05,1704.00,1770.30,2504.10
1604.69,1711.80,1787.60,2493.20
1593.65,1700.50,1778.70,2482.90
1581.68,1690.30,1785.60,2467.10
1599.14,1715.40,1833.90,2497.90
1613.82,1723.50,1837.40,2477.90
1620.45,1719.40,1824.30,2490.10
1629.51,1734.40,1843.80,2516.30
1663.70,1772.80,1873.60,2537.10
1664.09,1760.30,1860.20,2541.60
1669.29,1747.20,1860.20,2536.70
1685.14,1750.20,1865.90,2544.90
1687.07,1755.30,1867.90,2543.40
1680.13,1754.60,1841.30,2522.00
1671.84,1751.20,1838.70,2525.30
1669.52,1752.50,1849.90,2510.40
1686.71,1769.40,1869.30,2539.90
1685.51,1767.60,1890.60,2552.00
1671.01,1750.00,1879.60,2546.50
1683.06,1747.10,1873.90,2550.80
1685.70,1753.50,1875.30,2571.20
1685.66,1752.80,1857.00,2560.20
1678.77,1752.90,1856.50,2556.80
1685.85,1764.70,1865.80,2547.10
1683.71,1776.80,1860.60,2534.30
1686.59,1779.30,1861.60,2517.20
1683.73,1785.10,1865.60,2538.40
1679.14,1798.20,1864.10,2537.10
1685.03,1794.10,1861.60,2523.70
1680.81,1795.20,1876.50,2522.60
1676.17,1780.40,1865.10,2513.90
1688.46,1789.50,1882.10,2541.00
1696.55,1794.20,1912.20,2555.90
1690.24,1784.40,1915.40,2536.70
1711.35,1800.10,1951.20,2543.40
1711.29,1804.00,1962.40,2542.30
1729.86,1816.20,1976.50,2559.70
1716.63,1810.50,1953.50,2546.80
1743.36,1821.90,1981.30,2565.00
1745.17,1828.20,1985.10,2562.00
1746.76,1840.60,1983.40,2562.10
1749.29,1841.10,1979.70,2554.30
1763.86,1846.30,1983.80,2565.40
1762.27,1850.00,1988.10,2558.40
1762.29,1839.00,1973.00,2538.30
1746.77,1820.20,1966.90,2533.10
1753.50,1815.20,1976.30,2550.70
1753.21,1820.60,1993.90,2574.80
1739.88,1807.10,1968.00,2522.40
1723.92,1791.40,1941.80,2493.30
1734.42,1806.20,1947.10,2476.00
1723.13,1798.70,1929.20,2470.70
1732.92,1818.20,1943.60,2491.20
1729.89,1820.50,1928.20,2464.70
1725.74,1833.30,1922.00,2467.60
1730.90,1837.10,1919.10,2456.60
1714.17,1818.20,1884.60,2441.00
1716.20,1824.10,1896.30,2458.70
1719.06,1830.10,1928.30,2464.90
1718.21,1835.60,1934.80,2472.20
1698.84,1828.70,1923.50,2447.90
1714.76,1839.20,1943.80,2452.90
1718.35,1837.20,1942.40,2440.10
1706.69,1826.70,1928.10,2408.60
1723.37,1838.00,1942.00,2405.40
1716.18,1829.10,1942.70,2382.70
1738.78,1843.10,1974.80,2400.90
1737.41,1850.50,1975.40,2404.20
1714.77,1827.10,1907.50,2393.20
1724.24,1829.10,1943.60,2436.40
1733.77,1848.00,1974.10,2572.60
1729.96,1840.50,1963.30,2591.00
1734.46,1853.80,1972.30,2600.50
1744.35,1874.10,1990.70,2640.20
1746.88,1871.30,1978.20,2638.60
1746.88,1871.30,1978.20,2638.60
1746.88,1871.30,1978.20,2638.60
1747.47,1860.50,1980.40,2625.80
1753.10,1874.70,1983.70,2607.80
1745.17,1880.10,1978.10,2609.80
1745.72,1874.70,1984.90,2643.00
1742.92,1875.60,1995.70,2658.20
1731.68,1859.50,2006.60,2651.00
1731.18,1874.20,2036.70,2664.90
1728.09,1880.10,2031.10,2654.10
1728.09,1880.10,2031.10,2659.80
1731.29,1907.70,2041.60,2659.80
1733.82,1920.50,2046.90,2662.20
1745.78,1937.30,2047.20,2698.70
1752.57,1936.80,2063.40,2701.90
1748.13,1949.10,2063.40,2725.70
1750.70,1963.70,2077.50,2737.80
1747.91,1950.80,2063.60,2722.40
1745.79,1953.50,2053.20,2720.50
1735.34,1945.00,2017.00,2694.70
1719.92,1921.10,2024.00,2682.60
1763.59,1939.10,2051.60,2703.60
1766.76,1928.00,2023.10,2700.60
1785.40,1933.40,2030.80,2711.90
1783.56,1925.70,2016.80,2702.00
1804.42,1931.70,2045.10,2715.00
1812.33,1928.70,2046.30,2715.00
1799.51,1924.50,2029.60,2704.60
1792.80,1914.20,2014.10,2698.60
1792.80,1914.20,2014.10,2694.20
1806.36,1920.60,2033.30,2707.60
1798.23,1923.30,2017.40,2697.60
1800.62,1930.40,2024.90,2705.90
1786.19,1915.20,1992.60,2680.90
1791.35,1916.90,1994.90,2681.90
1789.05,1913.80,1981.60,2668.50
1789.05,1913.80,1981.60,2645.80
1784.71,1899.70,1962.20,2635.40
1789.45,1888.00,1953.70,2636.10
1779.74,1868.80,1928.80,2614.10
1786.97,1879.90,1928.30,2603.70
1773.25,1865.70,1918.10,2593.60
1781.62,1881.30,1931.40,2616.30
1773.75,1873.10,1908.80,2598.40
1773.75,1862.50,1891.80,2562.70
1776.34,1869.30,1913.90,2584.80
1770.72,1846.90,1885.80,2550.30
1772.39,1847.10,1895.80,2560.60
1762.55,1838.30,1899.60,2532.60
1764.35,1845.80,1920.30,2557.30
1752.83,1835.50,1915.30,2534.10
1755.98,1846.60,1907.30,2515.80
1754.95,1854.80,1900.60,2521.20
1759.90,1845.30,1880.90,2493.90
1759.84,1854.50,1873.50,2476.10
1776.50,1870.50,1883.60,2497.10
1769.98,1862.60,1868.50,2469.00
1766.98,1856.60,1879.10,2493.70
1752.29,1837.60,1847.80,2472.60
1760.17,1846.70,1861.80,2497.90
1750.32,1856.50,1859.40,2490.80
1731.44,1841.80,1859.40,2478.30
1735.51,1835.00,1859.40,2484.00
1733.84,1844.40,1853.30,2486.40
1730.78,1838.90,1851.20,2483.40
1699.46,1805.60,1801.80,2431.90
1652.71,1756.60,1767.90,2403.70
1654.09,1786.10,1762.70,2415.60
1636.81,1757.10,1727.50,2387.90
1622.81,1762.80,1734.60,2399.50
1613.36,1756.80,1734.60,2377.20
1617.78,1761.90,1755.40,2348.00
1617.18,1778.50,1769.00,2373.40
1637.62,1812.70,1801.60,2423.20
1622.20,1806.10,1782.60,2411.60
1608.49,1798.10,1754.70,2399.60
1605.11,1794.90,1784.40,2420.20
1609.61,1805.40,1787.60,2407.50
1624.94,1820.30,1798.00,2392.80
1618.07,1819.60,1793.80,2377.60
1611.96,1809.60,1777.30,2350.10
1578.95,1799.90,1755.20,2325.70
1561.39,1800.30,1737.80,2309.60
1547.87,1793.30,1730.10,2303.10
1548.63,1784.80,1722.40,2318.00
1560.16,1791.70,1753.50,2356.80
1554.76,1800.20,1757.30,2376.10
1531.87,1788.60,1736.70,2354.70
1526.14,1775.70,1734.20,2363.50
1509.03,1753.50,1724.20,2359.40
1530.03,1768.20,1744.20,2365.70
1484.97,1727.90,1689.70,2311.10
1464.03,1709.60,1667.70,2281.00
1475.11,1704.60,1667.80,2285.00
1516.12,1740.60,1687.60,2311.60
1519.69,1745.70,1687.50,2312.60
1529.97,1751.70,1684.90,2312.60
1516.44,1747.30,1674.20,2298.40
1515.53,1757.80,1711.40,2313.00
1543.89,1774.20,1780.50,2381.90
1534.72,1774.40,1779.00,2362.20
1538.66,1788.30,1779.30,2372.20
1536.71,1788.00,1763.70,2337.70
1523.83,1779.10,1756.80,2327.50
1527.10,1792.80,1774.20,2340.60
1530.20,1812.00,1802.00,2370.90
1601.50,1872.10,1873.60,2422.10
1580.29,1851.40,1836.20,2370.00
1595.09,1873.40,1859.80,2378.30
1579.47,1889.60,1852.70,2483.90
1600.59,1897.50,1882.90,2567.00
1566.00,1888.80,1826.10,2560.10
1557.01,1900.40,1832.80,2586.00
1542.74,1913.40,1828.90,2580.50
1536.30,1909.90,1829.50,2621.20
1510.66,1910.80,1843.50,2601.00
1481.03,1879.20,1770.30,2560.00
1483.83,1880.20,1731.90,2565.50
1470.09,1878.30,1736.70,2553.00
1484.78,1885.20,1724.00,2572.30
1475.41,1867.60,1683.30,2549.70
1402.34,1788.00,1611.00,2446.30
1421.49,1820.50,1612.50,2488.40
1434.61,1858.20,1654.20,2517.10
1446.32,1870.30,1673.90,2538.80
1437.65,1878.40,1657.30,2541.20
1441.57,1881.50,1655.10,2557.20
1471.64,1893.20,1685.10,2584.70
1453.95,1889.30,1667.90,2574.70
1453.79,1877.30,1650.00,2546.60
1458.02,1884.00,1664.20,2563.90
1479.59,1904.70,1679.10,2562.20
1504.89,1922.70,1731.30,2617.00
1496.54,1908.50,1722.20,2645.70
1511.00,1911.40,1730.70,2658.10
1528.86,1921.10,1766.40,2669.70
1534.02,1930.80,1770.70,2661.60
1536.60,1927.80,1774.50,2669.80
1508.19,1908.30,1749.90,2650.40
1493.54,1905.90,1730.90,2642.30
1489.68,1911.10,1742.40,2658.30
1482.44,1921.60,1742.40,2687.80
1483.34,1933.60,1786.90,2705.60
1470.57,1942.00,1804.10,2691.70
1484.84,1951.50,1804.70,2711.10
1487.71,1955.70,1793.60,2702.70
1508.63,1957.40,1786.70,2695.40
1515.27,1962.30,1798.50,2714.60
1509.84,1946.10,1798.50,2696.80
1542.28,1950.20,1821.50,2726.40
1541.79,1929.70,1796.80,2697.50
1542.48,1913.40,1772.70,2679.60
1550.27,1889.50,1764.40,2679.20
1550.27,1882.80,1759.20,2704.00
1543.37,1895.40,1722.30,2706.20
1547.84,1897.90,1724.20,2732.40
1523.62,1891.50,1674.80,2722.90
1526.68,1880.10,1720.60,2727.10
1513.42,1887.00,1721.00,2709.60
1523.02,1891.40,1739.70,2741.80
1529.69,1914.60,1749.70,2760.10
1545.12,1931.20,1771.40,2778.80
1546.82,1929.20,1792.30,2792.00
1528.12,1924.30,1783.30,2764.10
1530.65,1927.00,1799.40,2771.00
1526.25,1935.00,1781.70,2759.40
1519.48,1955.40,1788.60,2754.50
1506.65,1962.20,1765.90,2769.80
1504.30,1980.70,1791.20,2750.70
1480.65,1987.70,1769.50,2726.50
1476.70,1993.70,1758.70,2716.20
1478.07,2015.70,1738.30,2721.80
1479.62,2005.00,1744.80,2717.90
1477.55,2023.90,1736.70,2732.80
1472.59,2028.50,1735.20,2740.30
1495.60,2044.90,1760.10,2789.70
1517.45,2045.80,1786.30,2807.70
1520.93,2057.30,1824.40,2842.00
1527.06,2061.70,1821.10,2827.40
1527.06,2061.70,1854.60,2827.50
1527.06,2061.70,1854.60,2827.50
1547.51,2092.30,1857.50,2827.50
1545.82,2090.10,1870.30,2847.80
1538.43,2105.40,1858.80,2832.50
1538.43,2105.40,1857.80,2846.50
1538.43,2105.40,1857.80,2846.50
1538.04,2117.70,1843.10,2861.50
1554.03,2128.20,1850.80,2833.60
1551.17,2124.70,1859.60,2826.00
1538.37,2079.90,1844.50,2816.50
1529.10,2074.90,1852.60,2799.20
1522.26,2046.40,1814.60,2773.40
1533.79,2079.80,1796.80,2757.90
1510.18,2076.70,1782.50,2745.30
1526.91,2104.50,1803.50,2759.20
1555.52,2101.30,1827.10,2765.10
1581.49,2084.00,1837.50,2763.10
1572.61,2063.90,1837.70,2737.60
1572.69,2062.70,1818.80,2748.70
1580.64,2089.90,1812.20,2773.30
1593.35,2102.90,1820.40,2781.20
1571.28,2086.00,1779.90,2771.90
1575.59,2085.90,1792.60,2835.70
1561.78,2064.10,1777.40,2832.50
1572.68,2072.70,1780.60,2816.90
1574.04,2091.00,1772.20,2807.20
1590.33,2120.20,1785.90,2851.60
1584.14,2120.40,1787.30,2834.40
1605.91,2117.60,1824.10,2873.80
1615.98,2123.70,1854.40,2865.90
1643.83,2132.20,1908.20,2862.90
1646.85,2137.00,1904.70,2870.00
1639.12,2134.80,1894.10,2831.30
1642.80,2121.40,1893.30,2816.40
1659.07,2127.50,1905.60,2834.30
1649.64,2135.50,1912.00,2843.00
1674.93,2144.80,1899.50,2845.90
1651.60,2131.00,1878.20,2812.20
1656.35,2112.90,1905.00,2814.00
1670.90,2131.30,1926.50,2837.70
1683.30,2117.80,1937.20,2840.00
1679.41,2096.10,1959.20,2838.30
1658.09,2051.50,1944.10,2818.00
1652.92,2065.70,1953.40,2817.00
1661.96,2061.00,1944.60,2828.70
1680.02,2100.60,1983.70,2868.00
1691.37,2120.50,1998.80,2882.60
1701.46,2130.90,2001.50,2882.30
1690.48,2142.40,1995.20,2918.60
1685.46,2139.50,1986.80,2904.80
1686.15,2134.60,1995.10,2916.60
1702.27,2132.20,2004.30,2957.30
1711.91,2150.10,2009.70,2949.90
1714.48,2157.00,1992.40,2956.70
1708.65,2165.00,1988.90,2953.40
1688.74,2127.20,1965.20,2915.90
1705.05,2157.20,1986.00,2922.40
1700.28,2150.80,1975.30,2919.30
1689.71,2139.10,1967.30,2889.90
1696.38,2154.70,1963.50,2883.30
1686.57,2182.40,1962.70,2900.10
1656.59,2161.30,1939.30,2863.90
1653.20,2166.30,1952.20,2861.10
1666.72,2146.80,1954.60,2860.60
1663.27,2135.70,2001.40,2852.80
1667.26,2160.90,2025.80,2852.90
1675.18,2175.70,2033.90,2846.50
1686.64,2188.90,2035.90,2861.00
1676.84,2190.30,2031.40,2878.70
1670.04,2188.40,2005.90,2878.40
1657.06,2190.30,1990.80,2869.90
1658.36,2184.00,1974.70,2838.80
1667.64,2196.00,1995.30,2832.20
1654.60,2184.90,1984.00,2822.10
1658.13,2188.30,1986.90,2821.80
1658.13,2188.30,1986.90,2821.80
1658.13,2188.30,1986.90,2821.80
1671.54,2181.70,2018.10,2846.80
1674.95,2165.70,2015.40,2842.10
1674.67,2160.50,1988.60,2839.70
1678.65,2162.90,1986.70,2824.40
1687.14,2166.30,1968.90,2830.00
1680.06,2170.80,1949.30,2856.10
1666.49,2178.10,1931.90,2869.60
1680.01,2177.30,1944.50,2881.10
1656.03,2162.30,1916.60,2843.80
1643.53,2140.40,1911.60,2822.30
1636.59,2124.70,1927.40,2832.70
1630.88,2138.20,1942.50,2797.30
1618.60,2123.20,1920.60,2786.80
1626.83,2129.70,1939.00,2813.10
1632.00,2152.80,1937.00,2813.10
1619.92,2160.00,1923.60,2812.60
1628.88,2165.80,1926.30,2796.50
1617.74,2165.40,1920.50,2786.30
1607.70,2162.60,1878.60,2793.70
1616.45,2179.10,1877.20,2829.70
1613.46,2191.10,1854.50,2836.10
1632.99,2191.50,1872.70,2860.80
1636.02,2183.30,1879.90,2849.30
1632.35,2186.30,1851.70,2847.00
1630.37,2205.20,1835.70,2858.10
1619.26,2227.20,1846.40,2847.30
1606.64,2227.00,1836.80,2819.70
1606.64,2227.00,1836.80,2816.80
1613.98,2232.90,1836.80,2812.20
1608.58,2237.40,1861.40,2825.60
1623.05,2243.50,1891.10,2837.70
1617.18,2247.50,1890.40,2846.90
1633.18,2267.10,1904.60,2855.30
1627.21,2271.60,1888.70,2840.70
1627.21,2271.60,1888.70,2840.70
1625.59,2253.80,1872.80,2849.20
1628.53,2259.80,1875.80,2863.00
1630.56,2269.00,1867.90,2852.80
1638.47,2284.20,1859.70,2829.90
1660.88,2309.70,1887.90,2844.80
1662.28,2294.50,1893.70,2844.40
1679.69,2312.50,1915.20,2866.90
1679.69,2309.20,1911.20,2860.00
1685.85,2308.60,1920.40,2861.80
1686.44,2293.80,1916.80,2885.50
1684.57,2274.00,1897.90,2870.00
1689.93,2294.60,1918.80,2883.00
1681.47,2323.40,1900.30,2875.70
1687.14,2318.00,1910.30,2879.40
1697.26,2329.50,1929.20,2903.40
1698.33,2335.00,1935.30,2907.60
1690.96,2323.90,1942.40,2900.70
1692.16,2335.80,1963.30,2894.70
1699.52,2347.30,1960.80,2887.50
1712.33,2369.80,1991.00,2897.00
1703.05,2371.90,1977.50,2886.00
1700.93,2376.20,1971.90,2900.00
1698.36,2375.50,1960.20,2888.80
1697.39,2368.80,1941.20,2857.70
1694.83,2364.40,1925.40,2838.50
1705.66,2390.90,1935.10,2848.10
1739.48,2372.00,1943.70,2848.30
1798.63,2397.10,1980.40,2845.90
1798.36,2403.00,1985.70,2843.20
1808.74,2408.70,1992.20,2830.90
1806.52,2418.10,1991.20,2837.10
1815.63,2410.50,1991.20,2832.30
1807.12,2399.90,1963.10,2831.70
1829.36,2396.40,1974.90,2833.00
1835.09,2381.80,1981.70,2842.90
1826.45,2324.50,1968.40,2823.90
1821.28,2313.70,1947.50,2814.10
1828.53,2340.20,1965.70,2820.10
1830.61,2350.50,1995.00,2827.70
1859.49,2388.70,2006.20,2844.20
1846.02,2398.00,1998.10,2879.40
1832.20,2408.70,1989.50,2884.20
1823.40,2401.50,2036.00,2917.60
1823.07,2400.90,2085.90,2926.50
1818.10,2400.70,2129.00,2941.70
1857.36,2429.80,2110.60,2945.00
1861.22,2431.50,2101.40,2941.30
1870.80,2424.90,2115.30,2943.40
1878.94,2423.30,2149.80,2969.80
1870.24,2420.50,2138.50,2986.40
1864.51,2384.50,2139.80,2971.60
1894.56,2411.10,2167.40,3006.10
1908.69,2449.50,2161.90,3009.10
1917.69,2461.00,2148.00,3010.10
1903.44,2478.70,2148.00,3008.30
1918.75,2464.90,2136.30,3025.00
1930.29,2488.00,2160.80,3073.60
1937.77,2480.60,2139.20,3065.50
1909.53,2474.50,2128.20,3057.60
1893.48,2467.30,2111.40,3042.00
1907.65,2472.40,2123.40,3049.30
1915.59,2499.70,2159.30,3079.20
1890.58,2475.20,2173.60,3079.20
1909.54,2478.60,2183.90,3100.60
1929.56,2481.00,2205.70,3100.60
1931.88,2488.50,2216.50,3100.00
1923.67,2470.40,2191.90,3085.10
1928.63,2463.80,2185.10,3072.60
1920.43,2438.80,2156.10,3057.30
1911.15,2392.50,2158.00,3055.40
1878.77,2403.40,2137.30,3038.60
1870.32,2397.90,2129.40,3035.40
1870.46,2382.10,2108.80,3031.20
1868.28,2363.60,2108.40,3037.00
1874.38,2365.60,2119.10,3024.80
1869.25,2388.30,2134.10,3028.00
1852.81,2361.80,2078.50,2989.40
1862.62,2374.40,2075.60,3003.90
1884.67,2385.20,2099.50,3005.50
1922.69,2418.40,2107.40,3004.50
1922.05,2431.80,2094.40,3001.60
1899.54,2414.60,2080.00,3007.50
1902.14,2425.80,2057.50,3001.30
1890.18,2445.90,2092.60,3005.20
1914.40,2482.40,2108.60,3026.30
1915.61,2478.30,2120.00,3036.90
1908.97,2485.40,2126.80,3030.10
1910.23,2473.10,2114.60,3037.50
1920.46,2481.60,2116.70,3039.30
1934.99,2490.30,2128.70,3067.70
1973.45,2521.30,2158.80,3085.20
1994.09,2534.80,2164.50,3100.80
1991.95,2528.00,2147.40,3092.40
2015.71,2533.60,2156.40,3108.60
2009.28,2548.50,2138.70,3102.20
2004.11,2552.50,2126.90,3094.70
1999.60,2571.00,2127.30,3080.90
1995.35,2586.40,2113.90,3086.30
2023.26,2612.60,2139.30,3120.80
2032.25,2663.60,2145.00,3137.60
2036.93,2660.70,2147.30,3129.60
2029.87,2668.40,2149.70,3156.30
2048.05,2690.10,2199.70,3188.30
2083.62,2701.40,2231.90,3199.00
2061.18,2685.00,2227.70,3184.80
2048.75,2700.20,2210.40,3165.30
2040.97,2715.90,2192.00,3154.30
2053.66,2720.90,2196.00,3163.00
2064.98,2723.20,2182.00,3171.00
2068.51,2727.10,2182.00,3164.40
2086.40,2742.90,2169.70,3164.10
2086.22,2749.90,2171.20,3162.30
2057.10,2706.60,2136.00,3149.00
2013.65,2654.20,2081.00,3085.60
2007.50,2675.30,2084.80,3077.60
2040.74,2727.10,2112.90,3096.00
2020.11,2742.10,2087.30,3098.50
2021.81,2720.10,2087.30,3099.70
2023.06,2721.10,2096.90,3099.10
2047.20,2717.40,2117.90,3093.30
2070.17,2712.30,2115.90,3097.50
2070.17,2711.10,2148.00,3120.00
2075.99,2727.10,2149.70,3125.50
2072.13,2733.90,2145.20,3108.00
2020.36,2696.50,2082.60,3070.60
2027.99,2702.10,2071.50,3069.30
2036.45,2717.80,2070.60,3067.20
2057.80,2726.80,2118.40,3093.10
2045.25,2741.90,2120.60,3111.40
2052.09,2738.20,2119.30,3135.80
2052.92,2738.50,2110.10,3166.90
2089.77,2774.30,2154.00,3233.20
2099.76,2787.20,2160.50,3223.90
2128.30,2819.00,2188.40,3234.20
2118.01,2836.40,2186.70,3237.30
2127.39,2834.80,2176.10,3237.30
2165.95,2843.80,2205.30,3277.40
2166.58,2858.40,2211.40,3271.60
2165.50,2861.20,2198.10,3261.30
2163.83,2876.90,2196.30,3254.60
2128.07,2867.80,2156.50,3248.40
2129.52,2850.60,2162.60,3278.80
2144.03,2867.70,2160.30,3311.20
2154.76,2889.50,2196.40,3337.10
2188.18,2909.00,2223.50,3364.90
2183.78,2918.00,2215.90,3342.40
2209.17,2942.40,2225.80,3355.70
2227.63,2967.40,2243.00,3396.50
2227.63,2967.40,2251.50,3412.30
2266.70,2972.60,2276.60,3412.30
2236.91,2930.90,2264.60,3412.30
2229.62,2934.20,2281.90,3462.00
2255.29,2957.60,2281.20,3428.80
2255.29,2957.60,2268.20,3418.40
2274.62,2996.20,2290.60,3418.40
2249.85,2999.20,2274.30,3408.50
2233.61,3009.40,2249.60,3379.20
2220.63,3021.90,2275.10,3403.00
2224.95,3042.90,2307.60,3446.00
2225.00,3015.90,2317.30,3440.60
2228.10,3026.60,2331.30,3413.80
2182.06,2999.00,2281.90,3372.00
2142.37,2949.90,2252.20,3360.00
2151.05,2990.60,2262.30,3400.60
2115.56,3011.10,2234.80,3407.80
2130.35,3037.50,2247.40,3437.00
2132.52,3049.40,2274.70,3475.10
2098.36,3045.90,2257.80,3470.00
2073.94,3039.30,2244.00,3484.20
2107.29,3041.30,2274.50,3481.40
2090.78,3066.50,2278.30,3444.00
2128.66,3091.30,2282.40,3436.10
2123.31,3095.20,2281.00,3427.30
2156.61,3140.70,2313.20,3447.40
2192.60,3178.40,2334.40,3491.80
2181.88,3148.70,2331.30,3481.50
2184.05,3169.10,2355.90,3520.30
2137.08,3151.90,2322.00,3491.50
2143.90,3166.60,2329.20,3475.40
2095.11,3089.80,2287.10,3419.10
2099.57,3097.20,2299.90,3440.20
2116.43,3054.20,2302.10,3429.10
2119.69,3012.20,2296.80,3407.00
2108.77,3012.20,2275.10,3378.90
2101.93,2947.10,2281.60,3363.50
2130.71,2947.10,2258.00,3393.20
2135.25,2947.10,2258.00,3417.70
2162.29,3033.40,2281.20,3425.30
2133.85,3025.90,2251.80,3382.60
2108.06,2997.60,2215.20,3350.30
2113.64,2982.80,2226.70,3333.70
2140.25,3027.50,2252.00,3341.90
2082.90,2958.40,2208.30,3267.50
2075.33,2929.30,2199.00,3281.20
2103.24,2888.20,2238.10,3328.10
2057.20,2847.40,2183.10,3270.60
2018.69,2768.50,2144.70,3248.10
